Geeta Bali,0.0971
Agha,0.0795
Dev Anand,0.0675
Bharat Bhushan,0.0667
Shyama,0.0565
Master Bhagwan,0.056
Jeevan,0.0534
Ashok Kumar,0.0515
David Abraham,0.0459
Madhubala,0.0444
,
Mahipal,0.0726
Ajit,0.0678
Dev Anand,0.0555
Chitra,0.0527
Kamran,0.052
Pradeep Kumar,0.0511
Nirupa Roy,0.0459
Master Bhagwan,0.0456
Ashok Kumar,0.044
Habib,0.0423
,
Chitra,0.0817
Helen,0.0799
Mahipal,0.0588
Mehmood,0.0575
Ashok Kumar,0.0574
Paidi Jairaj,0.0532
Dara Singh,0.05
Master Bhagwan,0.0474
Manher Desai,0.0433
Padmini,0.042
,
Ashok Kumar,0.1045
Sanjeev Kumar,0.0897
Helen,0.0761
Dara Singh,0.0747
Feroz Khan,0.0535
Mumtaz,0.0529
Sheikh Mukhtar,0.0383
Prithviraj Kapoor,0.0339
Balraj Sahni,0.0332
Master Bhagwan,0.033
,
Sanjeev Kumar,0.0857
Hema Malini,0.0535
N.T. Rama Rao,0.0447
Sanjay Khan,0.0389
Jeevan,0.0387
Shashi Kapoor,0.0386
Navin Nischol,0.0376
Mumtaz,0.0373
Rakesh Pandey,0.0364
Rajesh Khanna,0.0357
,
Sanjeev Kumar,0.072
Helen,0.0648
Jagdeep,0.056
Rakesh Pandey,0.0525
Jeetendra,0.0512
Bindu,0.0511
N.T. Rama Rao,0.048
Shashi Kapoor,0.0467
Dharmendra,0.0445
Rajinikanth,0.0426
,
Mithun Chakraborty,0.0773
Raj Babbar,0.0585
Bharat Bhushan,0.0493
Master Bhagwan,0.049
Vinod Mehra,0.0454
Kamal Haasan,0.0441
Rajinikanth,0.0428
Shashi Kapoor,0.04
Rati Agnihotri,0.0367
Asrani,0.0365
,
Mithun Chakraborty,0.1074
Sadashiv Amrapurkar,0.0737
Raj Babbar,0.0433
Rajesh Khanna,0.0416
Govinda,0.036
Hemant Birje,0.0354
Raj Kiran,0.0342
Dharmendra,0.032
Rajinikanth,0.0316
Anuradha,0.0301
,
Mithun Chakraborty,0.0896
Sadashiv Amrapurkar,0.0623
Rakesh Bedi,0.0508
Rita Bhaduri,0.0446
Disco Shanti,0.0414
Jeetendra,0.0387
Dharmendra,0.0384
Juhi Chawla,0.0366
Laxmikant Berde,0.0344
Akshay Kumar,0.0326
,
Mithun Chakraborty,0.1239
Shakti Kapoor,0.0763
Dharmendra,0.0651
Govinda,0.0457
Asrani,0.0431
Akshay Kumar,0.0342
Ishrat Ali,0.0327
Sadashiv Amrapurkar,0.0269
Sanjay Dutt,0.0261
Sunny Deol,0.0234
,
Mohan Joshi,0.062
Amitabh Bachchan,0.06
Shakti Kapoor,0.0529
Dharmendra,0.0489
Tabu,0.0434
Raza Murad,0.0384
Sunil Shetty,0.0372
Laxmikant Berde,0.0354
Govinda,0.0353
Mithun Chakraborty,0.0332
,
Anupam Kher,0.0525
Shakti Kapoor,0.0478
Amitabh Bachchan,0.0411
Milind Gunaji,0.0386
Ajay Devgn,0.0337
Rati Agnihotri,0.0319
Mithun Chakraborty,0.0305
Mahima Chaudhry,0.0292
Akshay Kumar,0.0288
Paresh Rawal,0.0273
,
Akshay Kumar,0.0287
Anupam Kher,0.0258
Asrani,0.0237
Rajpal Yadav,0.0225
Nawazuddin Siddiqui,0.0207
Manoj Bajpayee,0.0192
Om Puri,0.0166
Naseeruddin Shah,0.016
Emraan Hashmi,0.0159
Jimmy Sheirgill,0.0152
,
Sanjay Mishra,0.0212
Nawazuddin Siddiqui,0.0201
Hrishitaa Bhatt,0.0167
Richa Chadha,0.0148
Manoj Bajpayee,0.0138
Rajkummar Rao,0.013
Pankaj Tripathi,0.0122
Dharmendra,0.0115
Muntazir Ahmad,0.0112
Ayushmann Khurrana,0.0109
,
Vikrant Massey,0.0247
Deepika Padukone,0.022
Ajay Devgn,0.0208
Nawazuddin Siddiqui,0.0182
Sharib Hashmi,0.0175
Ranbir Kapoor,0.0166
Sanjay Mishra,0.0162
Sharad Kelkar,0.0151
Pankaj Tripathi,0.0143
Richa Chadha,0.013
,
