Geeta Bali,0.1082
Dev Anand,0.0871
Bharat Bhushan,0.0844
Agha,0.0844
Jeevan,0.0739
Ashok Kumar,0.0739
Karan Dewan,0.0712
Shyama,0.0686
Madhubala,0.0686
Suraiya,0.0607
,
Pradeep Kumar,0.0975
Ajit,0.085
Ashok Kumar,0.0825
Kishore Kumar,0.08
Shyama,0.0775
Mahipal,0.0775
Dev Anand,0.0775
Nirupa Roy,0.075
Chitra,0.075
Helen,0.0725
,
Helen,0.086
Ashok Kumar,0.0791
Chitra,0.0698
Dara Singh,0.0651
Mehmood,0.0605
Paidi Jairaj,0.0581
Kishore Kumar,0.0581
Dev Anand,0.0581
Pradeep Kumar,0.0558
Shammi Kapoor,0.0535
,
Ashok Kumar,0.0887
Sanjeev Kumar,0.082
Dara Singh,0.071
Helen,0.0665
Mumtaz,0.0643
Feroz Khan,0.0599
Dharmendra,0.0599
Master Bhagwan,0.051
Biswajit Chatterjee,0.051
Sheikh Mukhtar,0.0488
,
Sanjeev Kumar,0.0823
Rajesh Khanna,0.0652
Ashok Kumar,0.06
Dharmendra,0.0583
Vinod Khanna,0.0549
Shatrughan Sinha,0.0532
Shashi Kapoor,0.0515
Sanjay Khan,0.0463
Navin Nischol,0.0446
Mumtaz,0.0446
,
Sanjeev Kumar,0.0668
Shashi Kapoor,0.0637
Ashok Kumar,0.059
Vinod Khanna,0.0575
Rajesh Khanna,0.0543
Jeetendra,0.0543
Shatrughan Sinha,0.0528
Vinod Mehra,0.0481
Sunil Dutt,0.0481
Dharmendra,0.0466
,
Mithun Chakraborty,0.0713
Raj Babbar,0.0639
Jeetendra,0.0565
Rajesh Khanna,0.0504
Shashi Kapoor,0.0455
Sanjeev Kumar,0.0442
Kamal Haasan,0.043
Amitabh Bachchan,0.0418
Vinod Mehra,0.0405
Dharmendra,0.0405
,
Mithun Chakraborty,0.0675
Raj Babbar,0.0487
Rajesh Khanna,0.0417
Dharmendra,0.0417
Jeetendra,0.0407
Govinda,0.0377
Jackie Shroff,0.0357
Shatrughan Sinha,0.0318
Anil Kapoor,0.0318
Sadashiv Amrapurkar,0.0288
,
Mithun Chakraborty,0.0482
Jeetendra,0.0403
Dharmendra,0.0403
Sadashiv Amrapurkar,0.0364
Govinda,0.0344
Sanjay Dutt,0.0334
Raj Babbar,0.0334
Rakesh Bedi,0.0324
Rishi Kapoor,0.0315
Jackie Shroff,0.0315
,
Mithun Chakraborty,0.0588
Shakti Kapoor,0.0386
Govinda,0.0312
Dharmendra,0.0312
Sunil Shetty,0.0294
Jackie Shroff,0.0294
Akshay Kumar,0.0275
Ishrat Ali,0.0266
Sanjay Dutt,0.0257
Sadashiv Amrapurkar,0.0239
,
Amitabh Bachchan,0.0243
Shakti Kapoor,0.0237
Ajay Devgn,0.0206
Sunil Shetty,0.02
Sanjay Dutt,0.0182
Mohan Joshi,0.0182
Amit Pachori,0.0176
Satnam Kaur,0.017
Sapna Sappu,0.017
Raza Murad,0.017
,
Amitabh Bachchan,0.0254
Akshay Kumar,0.0229
Ajay Devgn,0.0211
Salman Khan,0.018
Sanjay Dutt,0.0174
Mithun Chakraborty,0.0149
Anupam Kher,0.0149
John Abraham,0.0136
Priyanka Chopra Jonas,0.013
Kay Kay Menon,0.013
,
Akshay Kumar,0.0156
Anupam Kher,0.0112
Ajay Devgn,0.0112
Emraan Hashmi,0.0103
Asrani,0.0089
Amitabh Bachchan,0.0089
Sanjay Dutt,0.0085
Nawazuddin Siddiqui,0.0085
Manoj Bajpayee,0.0085
Shahid Kapoor,0.008
,
Akshay Kumar,0.0079
Nawazuddin Siddiqui,0.0076
Manoj Bajpayee,0.0076
Muntazir Ahmad,0.0074
Sanjay Mishra,0.0068
Jimmy Sheirgill,0.0065
Rajkummar Rao,0.0062
Amitabh Bachchan,0.0062
Adil Hussain,0.0054
Vinay Pathak,0.0051
,
Amitabh Bachchan,0.01
Sanjay Mishra,0.0093
Nawazuddin Siddiqui,0.008
Sharib Hashmi,0.0067
Rajpal Yadav,0.0067
Akshay Kumar,0.0067
Ajay Devgn,0.0067
Vikrant Massey,0.006
Manoj Bakshi,0.006
Deepika Padukone,0.006
,
