Geeta Bali,0.2616
Agha,0.2363
Jeevan,0.2193
Dev Anand,0.2103
Bharat Bhushan,0.2045
Karan Dewan,0.1981
Ashok Kumar,0.1918
Suraiya,0.1845
Shyama,0.1839
Madhubala,0.1703
,
Pradeep Kumar,0.2352
Shyama,0.2016
Ashok Kumar,0.1897
Kishore Kumar,0.1854
Ajit,0.1822
Johnny Walker,0.1703
Helen,0.1697
Mahipal,0.1663
Meena Kumari,0.1572
Chitra,0.1533
,
Ashok Kumar,0.2733
Helen,0.2368
Mehmood,0.1884
Mala Sinha,0.1758
Rajendra Kumar,0.1555
Sunil Dutt,0.1538
Master Bhagwan,0.1535
Ajit,0.1517
Dara Singh,0.1466
Pradeep Kumar,0.1461
,
Ashok Kumar,0.2666
Dharmendra,0.2106
Sanjeev Kumar,0.2034
Mumtaz,0.1939
Asha Parekh,0.172
Sunil Dutt,0.1717
Pran,0.1698
Balraj Sahni,0.1693
Feroz Khan,0.1652
Biswajit Chatterjee,0.1585
,
Ashok Kumar,0.2383
Rajesh Khanna,0.2364
Sanjeev Kumar,0.2342
Dharmendra,0.2333
Shatrughan Sinha,0.2123
Vinod Khanna,0.2059
Jeetendra,0.1816
Amitabh Bachchan,0.1737
Mumtaz,0.1699
Hema Malini,0.1697
,
Shashi Kapoor,0.2804
Ashok Kumar,0.2462
Sanjeev Kumar,0.2432
Vinod Khanna,0.2265
Jeetendra,0.2044
Shatrughan Sinha,0.204
Rajesh Khanna,0.2037
Sunil Dutt,0.1933
Dharmendra,0.1825
Rekha,0.178
,
Jeetendra,0.2501
Raj Babbar,0.2404
Mithun Chakraborty,0.23
Shashi Kapoor,0.23
Rajesh Khanna,0.2174
Sanjeev Kumar,0.2093
Dharmendra,0.2027
Shatrughan Sinha,0.1906
Amitabh Bachchan,0.1814
Vinod Mehra,0.1718
,
Mithun Chakraborty,0.296
Raj Babbar,0.2227
Dharmendra,0.2225
Jeetendra,0.2154
Govinda,0.2015
Jackie Shroff,0.1905
Rajesh Khanna,0.1861
Rishi Kapoor,0.1777
Shatrughan Sinha,0.177
Sanjay Dutt,0.1712
,
Jeetendra,0.2611
Dharmendra,0.2481
Mithun Chakraborty,0.2434
Jackie Shroff,0.2019
Govinda,0.2014
Vinod Khanna,0.1986
Rishi Kapoor,0.1917
Sanjay Dutt,0.1852
Aditya Pancholi,0.1704
Madhuri Dixit,0.1549
,
Mithun Chakraborty,0.2459
Govinda,0.2107
Sunil Shetty,0.2101
Akshay Kumar,0.2046
Jackie Shroff,0.1998
Sanjay Dutt,0.1776
Karisma Kapoor,0.1753
Anil Kapoor,0.172
Dharmendra,0.1658
Ajay Devgn,0.1658
,
Amitabh Bachchan,0.3053
Ajay Devgn,0.2554
Sanjay Dutt,0.232
Sunil Shetty,0.2287
Akshay Kumar,0.2159
Salman Khan,0.1985
Abhishek Bachchan,0.1841
Jackie Shroff,0.1794
Anil Kapoor,0.1791
Rani Mukerji,0.157
,
Akshay Kumar,0.3276
Ajay Devgn,0.3153
Amitabh Bachchan,0.268
Sanjay Dutt,0.2573
Salman Khan,0.1963
Priyanka Chopra Jonas,0.194
John Abraham,0.1936
Sunil Shetty,0.1672
Paresh Rawal,0.1617
Saif Ali Khan,0.1495
,
Akshay Kumar,0.3241
Ajay Devgn,0.2375
Anupam Kher,0.2109
Kareena Kapoor,0.2095
Amitabh Bachchan,0.1794
Sanjay Dutt,0.1752
Deepika Padukone,0.1668
Riteish Deshmukh,0.1539
Salman Khan,0.1523
Priyanka Chopra Jonas,0.1505
,
Manoj Bajpayee,0.3186
Akshay Kumar,0.2675
Amitabh Bachchan,0.2363
Taapsee Pannu,0.2125
Rajkummar Rao,0.177
Nawazuddin Siddiqui,0.1698
Ayushmann Khurrana,0.1641
Jimmy Sheirgill,0.1637
John Abraham,0.1458
Varun Dhawan,0.145
,
Amitabh Bachchan,0.4837
Ajay Devgn,0.3651
Rakul Preet Singh,0.3351
Akshay Kumar,0.2074
Neena Gupta,0.1881
Jacqueline Fernandez,0.1871
Sidharth Malhotra,0.1828
Vijay Raaz,0.135
Alia Bhatt,0.1338
Ayushmann Khurrana,0.1329
,
